Lab_Source,Adsorbent,Adsorbate,Surface area(m2/g),Adsorption capacity(mg/g),Initial Concentration(ppm),RE,Contact Time (min.),Dose(g/L),RPM,Initial pH,T(K),Ref.,Unnamed: 12,Adsorbate_norm,Adsorbent_Family,Site_Density,Cap_Load_Ratio,LogTime,Mixing_Index,Thermo_Capacity,Driving_Force,Acidity_Strength,ion_charge,ion_ionic_radius_A,ion_hydrated_radius_A,ion_known,ion_potential,hydration_ratio,Regime,Ref_group,Adsorbent_group,Adsorbate_group
,Graphene oxide based inverse spinel nickel ferrite composite,Cr3+,136.0,45.0,1000.0,90.65,120.0,1.3,125.0,4.0,298.0,Lingamdinne et al. (2015),https://doi.org/10.1016/j.hydromet.2015.11.005,Cr3+,carbon_based,0.1767999999998232,0.044999999999955,4.795790545596741,599.4738181995926,13410.0,769.2307686390532,3.0,3.0,0.615,4.61,1,4.878048772556019,7.495934947161082,Acidic_HighC0,Lingamdinne et al. (2015),Graphene oxide based inverse spinel nickel ferrite composite,Cr3+
,Zero-valent iron decorated on graphene nanosheets,Cr3+,117.97,35.3,25.0,70.0,90.0,1.0,125.0,3.0,298.0,Li et al. (2016),https://doi.org/10.1016/j.cej.2015.12.022,Cr3+,carbon_based,4.718799999811248,1.41199999994352,4.51085950651685,563.8574383146063,10519.4,24.999999974999998,4.0,3.0,0.615,4.61,1,4.878048772556019,7.495934947161082,Acidic_LowC0,Li et al. (2016),Zero-valent iron decorated on graphene nanosheets,Cr3+
,Copolymer of dimethylaminoethyl methacrylate with graphene oxide,Cr3+,2630.0,82.4,50.0,93.0,45.0,1.0,125.0,1.1,298.0,Ma et al. (2015),Radiation-induced graft copolymerization of dimethylaminoethyl methacrylate onto graphene oxide for Cr(VI) removal - ScienceDirect,Cr3+,carbon_based,52.599999998948,1.6479999999670403,3.828641396489095,478.58017456113686,24555.2,49.999999949999996,5.9,3.0,0.615,4.61,1,4.878048772556019,7.495934947161082,Acidic_HighC0,Ma et al. (2015),Copolymer of dimethylaminoethyl methacrylate with graphene oxide,Cr3+
,Graphene sand composite (GSC),Cr3+,157.0,2859.38,14.0,93.0,90.0,10.0,125.0,1.5,298.0,Dubey et al. (2015),(PDF) Green synthesis of graphene sand composite (GSC) as novel adsorbent for efficient removal of Cr (VI) ions from aqueous solution,Cr3+,carbon_based,112.14285713484693,204.2414285568399,4.51085950651685,563.8574383146063,852095.24,1.39999999986,5.5,3.0,0.615,4.61,1,4.878048772556019,7.495934947161082,Acidic_LowC0,Dubey et al. (2015),Graphene sand composite (GSC),Cr3+
,Graphene oxide,Cr3+,6.53,92.65,52.0,92.65,12.0,1.0,125.0,5.0,298.0,Yang et al. (2014a),https://doi.org/10.1016/j.colsurfa.2014.05.062,Cr3+,carbon_based,0.12557692307450816,1.7817307691965054,2.5649493574615367,320.6186696826921,27609.7,51.999999947999996,2.0,3.0,0.615,4.61,1,4.878048772556019,7.495934947161082,Acidic_HighC0,Yang et al. (2014a),Graphene oxide,Cr3+
,Modified graphene (GN) with cetyltrimethylammonium bromide,Cr3+,1.52,21.57,75.0,98.2,60.0,400.0,125.0,2.0,298.0,Wu et al. (2013),Adsorption of hexavalent chromium from aqueous solutions by graphene modified with cetyltrimethylammonium bromide - ScienceDirect,Cr3+,carbon_based,8.106666666558578,0.2875999999961653,4.110873864173311,513.859233021664,6427.86,0.18749999999953126,5.0,3.0,0.615,4.61,1,4.878048772556019,7.495934947161082,Acidic_HighC0,Wu et al. (2013),Modified graphene (GN) with cetyltrimethylammonium bromide,Cr3+
,Acrylonitriledivinylbenzene copolymer,Cr3+,7.13,101.2,30.0,80.0,420.0,0.6,125.0,2.0,298.0,Duranoğlu et al. (2010),https://doi.org/10.1016/j.cej.2010.08.054,Cr3+,polymer,0.14259999999524664,3.373333333220889,6.042632833682381,755.3291042102976,30157.600000000002,49.999999916666674,5.0,3.0,0.615,4.61,1,4.878048772556019,7.495934947161082,Acidic_LowC0,Duranoğlu et al. (2010),Acrylonitriledivinylbenzene copolymer,Cr3+
,Syzygium jambolanum nut carbon,Cr3+,2.49,35.3,110.0,100.0,240.0,5.0,125.0,2.0,298.0,Muthukumaran & Beulah (2011),https://doi.org/10.1016/j.proenv.2011.03.032,Cr3+,carbon_based,0.11318181818078926,0.32090909090617353,5.484796933490655,685.5996166863318,10519.4,21.9999999956,5.0,3.0,0.615,4.61,1,4.878048772556019,7.495934947161082,Acidic_HighC0,Muthukumaran & Beulah (2011),Syzygium jambolanum nut carbon,Cr3+
,Green alga Ulva lactuca,Cr3+,4.33,61.485,50.0,98.0,40.0,2.0,125.0,1.0,298.0,El-Sikaily et al. (2007),Removal of toxic chromium from wastewater using green alga Ulva lactuca and its activated carbon - ScienceDirect,Cr3+,biomass,0.173199999996536,1.2296999999754061,3.713572066704308,464.1965083380385,18322.53,24.9999999875,6.0,3.0,0.615,4.61,1,4.878048772556019,7.495934947161082,Acidic_HighC0,El-Sikaily et al. (2007),Green alga Ulva lactuca,Cr3+
,Jatropha wood,Cr3+,8.71,123.6,65.0,90.65,360.0,1.3,125.0,6.0,298.0,Gueye et al. (2014),https://doi.org/10.1016/j.jece.2013.12.014,Cr3+,biomass,0.17419999999732003,1.9015384615092068,5.8888779583328805,736.1097447916101,36832.799999999996,49.99999996153846,1.0,3.0,0.615,4.61,1,4.878048772556019,7.495934947161082,Acidic_HighC0,Gueye et al. (2014),Jatropha wood,Cr3+
