Ref_group,n_rows,RE_mean,RE_std,RE_min,RE_max,n_adsorbents,n_adsorbates,regimes,top_adsorbates,top_families
"(Zama et al., 2017)",91,63.283846153846156,39.455344230865194,2.23,100.0,16,2,Acidic_LowC0:91,Pb2+:48; As3+:43,composite_other:46; biomass:45
"(Shen et al., 2017b)",65,54.00523076923077,35.196142238341096,4.85,100.0,4,1,Acidic_LowC0:30; Acidic_HighC0:20; Neutral_HighC0:15,Ni2+:65,biomass:65
"(Gao et al., 2019)",48,62.81907358833333,18.444013384086308,11.0,92.5,3,1,Acidic_HighC0:30; Acidic_LowC0:12; Neutral_HighC0:6,Cd2+:48,biomass:48
https://www.sciencedirect.com/science/article/pii/S2213343721006655,30,92.5638,8.517578255462702,66.1,100.0,4,12,Acidic_LowC0:15; Acidic_HighC0:15,Cd2+:4; Cr3+:4; Cu2+:4; Pb2+:3; Co2+:3,carbon_based:19; mineral_oxide:6; biomass:5
https://www.sciencedirect.com/science/article/pii/S0045653519308616#bib150,25,85.476,16.84812749239511,28.0,100.0,25,1,Acidic_HighC0:16; Acidic_LowC0:7; Neutral_HighC0:2,Cr3+:25,composite_other:13; carbon_based:6; biomass:4; polymer:1; mineral_oxide:1
"(Cui et al., 2016a)",24,50.85233325708333,20.844348608458102,15.90040468,89.00067446,4,1,Acidic_HighC0:16; Neutral_HighC0:8,Cd2+:24,composite_other:24
"(Li et al., 2018)",14,39.808928571428574,23.423927459115177,12.6,91.5,2,1,Acidic_HighC0:14,Pb2+:14,biomass:14
"(Trakal et al., 2014)",9,94.33666666666667,14.453797078968556,55.95,100.0,5,2,Acidic_LowC0:6; Acidic_HighC0:3,Pb2+:5; Cd2+:4,composite_other:5; biomass:4
"(Cui et al., 2016b)",8,32.0,13.355861206654872,17.17,54.03,4,1,Neutral_HighC0:8,Cd2+:8,composite_other:8
"(Jiang et al., 2016)",6,23.083333333333332,11.851336070952787,8.125,38.625,2,1,Acidic_LowC0:5; Acidic_HighC0:1,Zn2+:6,biomass:6
Meunier et al. (2003),5,75.5706,32.43701622837711,26.5,99.253,1,5,Acidic_LowC0:5,Cd2+:1; Cr3+:1; Cu2+:1; Ni2+:1; Zn2+:1,composite_other:5
"(Karnib et al., 2014;",5,71.46,23.860385579449463,29.6,86.0,1,5,Acidic_HighC0:3; Acidic_LowC0:2,Cd2+:1; Pb2+:1; Cr3+:1; Ni2+:1; Zn2+:1,carbon_based:5
"Jiao et al., 2022",5,91.31999999999998,7.666289845811989,80.1,99.1,1,5,Neutral_HighC0:5,Co2+:1; Cu2+:1; Ni2+:1; Cd2+:1; Pb2+:1,composite_other:5
Babel and Kurniawan (2004b),4,90.0,12.919236303538483,71.0,99.6,4,1,Acidic_LowC0:4,Cr6+:4,composite_other:3; polymer:1
"(Bartczak et al., 2017)",4,90.5,6.61714943662803,85.1,99.1,1,4,Acidic_HighC0:4,Ni2+:1; Cu2+:1; Zn2+:1; Pb2+:1,composite_other:4
"(Popovic et al., 2020)",4,94.25,3.593976442141304,89.0,97.0,4,4,Acidic_LowC0:4,Cr3+:1; As3+:1; Cd2+:1; Ni2+:1,composite_other:4
https://pubs.acs.org/doi/10.1021/je900585t?src=getftr&utm_source=sciencedirect_contenthosting&getft_integrator=sciencedirect_contenthosting,4,88.9125,2.7502651387335986,85.0,91.0,1,4,Acidic_HighC0:4,Cd2+:1; Cu2+:1; Pb2+:1; Ni2+:1,composite_other:4
"(Liu et al., 2020a)",3,33.333333333333336,32.559074515921566,3.4,68.0,1,3,Acidic_HighC0:3,Pb2+:1; Cu2+:1; Cd2+:1,composite_other:3
"(Qin et al., 2017)",3,78.63333333333334,14.716430726685509,65.1,94.3,1,3,Acidic_LowC0:3,Cu2+:1; Zn2+:1; Ni2+:1,composite_other:3
"Liu et al., 2012b",2,79.15,29.344931419241725,58.4,99.9,1,2,Acidic_LowC0:2,Cu2+:1; Pb2+:1,composite_other:2
"(Huang et al., 2015)",2,59.9,18.243354954612926,47.0,72.8,1,2,Acidic_HighC0:2,Cu2+:1; Pb2+:1,composite_other:2
"Lakshmipathy and Sarada, 2013",2,63.5,9.192388155425117,57.0,70.0,1,2,Acidic_HighC0:2,Ni2+:1; Co2+:1,composite_other:2
"(Zhou et al., 2018)",2,90.0,7.0710678118654755,85.0,95.0,1,2,Acidic_HighC0:2,Cd2+:1; Pb2+:1,composite_other:2
"(Wang et al., 2019a)",2,94.0,2.8284271247461903,92.0,96.0,1,2,Acidic_HighC0:2,Cd2+:1; Pb2+:1,composite_other:2
"(Jin et al., 2018)",2,72.5,2.1213203435596424,71.0,74.0,1,2,Acidic_HighC0:2,Cu2+:1; Pb2+:1,composite_other:2
"(Wang et al., 2021)",2,83.5,2.1213203435596424,82.0,85.0,1,2,Neutral_HighC0:2,Cu2+:1; Pb2+:1,composite_other:2
"(Wang et al., 2020a)",2,98.8,1.4424978336205512,97.78,99.82,1,2,Acidic_LowC0:2,Cu2+:1; Pb2+:1,composite_other:2
"(Li et al., 2021)",2,80.0,1.4142135623730951,79.0,81.0,1,2,Neutral_HighC0:2,Cu2+:1; Co2+:1,composite_other:2
Namasivayam & Sureshkumar (2008),2,95.0,1.4142135623730951,94.0,96.0,2,1,Acidic_LowC0:1; Acidic_HighC0:1,Cr3+:2,composite_other:2
"(Mu et al., 2020)",2,99.0,0.0,99.0,99.0,1,2,Acidic_HighC0:2,Cu2+:1; Co2+:1,composite_other:2
Alothman & Apblett (2010),2,70.0,0.0,70.0,70.0,1,1,Acidic_LowC0:1; Acidic_HighC0:1,Cd2+:2,composite_other:2
Borsagli et al. (2015),2,95.0,0.0,95.0,95.0,1,1,Neutral_HighC0:2,Cd2+:2,polymer:2
Igberase & Osifo (2015),2,99.6,0.0,99.6,99.6,1,1,Acidic_HighC0:2,Cd2+:2,polymer:2
"Lakshmipathy and Sarada, 2016b",2,98.1,0.0,98.1,98.1,1,2,Acidic_HighC0:2,Cu2+:1; Pb2+:1,composite_other:2
Mohan et al. (2007),2,100.0,0.0,100.0,100.0,2,1,Acidic_HighC0:2,Pb2+:2,biomass:1; composite_other:1
Romera et al. (2007),2,90.65,0.0,90.65,90.65,2,1,Acidic_HighC0:2,Cu2+:2,composite_other:2
Salah et al. (2014),2,92.0,0.0,92.0,92.0,1,1,Acidic_HighC0:2,Cd2+:2,polymer:2
Yang et al. (2014b),2,93.0,0.0,93.0,93.0,1,1,Acidic_HighC0:1; Acidic_LowC0:1,Cd2+:2,polymer:2
"(Chen et al., 2020a)",1,93.7,,93.7,93.7,1,1,Acidic_HighC0:1,Pb2+:1,composite_other:1
"(Chen et al., 2021)",1,99.35,,99.35,99.35,1,1,Acidic_LowC0:1,Cr6+:1,composite_other:1
"(Dai et al., 2019)",1,90.0,,90.0,90.0,1,1,Acidic_HighC0:1,Cr3+:1,composite_other:1
"(Gao et al., 2013)",1,76.6,,76.6,76.6,1,1,Acidic_LowC0:1,Ni2+:1,composite_other:1
"(Gao et al., 2018)",1,80.0,,80.0,80.0,1,1,Acidic_HighC0:1,Hg2+:1,composite_other:1
"(Ge et al., 2016a)",1,85.0,,85.0,85.0,1,1,Acidic_HighC0:1,Pb2+:1,composite_other:1
"(Huang et al., 2019)",1,100.0,,100.0,100.0,1,1,Acidic_LowC0:1,As3+:1,carbon_based:1
"(Jin et al., 2017)",1,95.0,,95.0,95.0,1,1,Acidic_HighC0:1,Cd2+:1,composite_other:1
"(Jin et al., 2020)",1,80.0,,80.0,80.0,1,1,Acidic_HighC0:1,Pb2+:1,composite_other:1
"(Kwak et al., 2018)",1,60.0,,60.0,60.0,1,1,Acidic_HighC0:1,Cr6+:1,composite_other:1
"(Kwak et al., 2020)",1,85.44,,85.44,85.44,1,1,Acidic_HighC0:1,Cr6+:1,composite_other:1
"(Li et al., 2015c)",1,99.0,,99.0,99.0,1,1,Acidic_LowC0:1,Pb2+:1,composite_other:1
"(Li et al., 2016a)",1,90.0,,90.0,90.0,1,1,Acidic_HighC0:1,Pb2+:1,composite_other:1
"(Li et al., 2017)",1,98.3,,98.3,98.3,1,1,Acidic_LowC0:1,Pb2+:1,composite_other:1
"(Liang et al., 2022)",1,100.0,,100.0,100.0,1,1,Acidic_HighC0:1,Cr6+:1,carbon_based:1
"(Luo et al., 2018)",1,95.0,,95.0,95.0,1,1,Acidic_HighC0:1,Cd2+:1,carbon_based:1
"(Lü et al., 2013)",1,86.4,,86.4,86.4,1,1,Acidic_HighC0:1,Ag:1,composite_other:1
"(Mohammadabadi and Javanbakht, 2020)",1,98.0,,98.0,98.0,1,1,Acidic_HighC0:1,Pb2+:1,composite_other:1
"(Nordin et al., 2020)",1,79.0,,79.0,79.0,1,1,Acidic_HighC0:1,Pb2+:1,composite_other:1
"(Park et al., 2021)",1,80.2,,80.2,80.2,1,1,Acidic_HighC0:1,As3+:1,carbon_based:1
"(Peng et al., 2020)",1,99.0,,99.0,99.0,1,1,Acidic_HighC0:1,Cd2+:1,composite_other:1
"(Shi et al., 2020a)",1,80.48,,80.48,80.48,1,1,Acidic_HighC0:1,Cr6+:1,composite_other:1
"(Stanisz et al., 2021)",1,45.0,,45.0,45.0,1,1,Acidic_HighC0:1,V:1,composite_other:1
"(Sun et al., 2021)",1,88.0,,88.0,88.0,1,1,Acidic_HighC0:1,Cr6+:1,composite_other:1
"(Wang et al., 2018c)",1,93.0,,93.0,93.0,1,1,Acidic_HighC0:1,Ni2+:1,composite_other:1
"(Wang et al., 2019b)",1,97.0,,97.0,97.0,1,1,Acidic_LowC0:1,Pb2+:1,composite_other:1
"(Xu et al., 2017a)",1,98.0,,98.0,98.0,1,1,Neutral_HighC0:1,Pb2+:1,composite_other:1
"(Xue et al., 2022)",1,64.1,,64.1,64.1,1,1,Neutral_HighC0:1,Cr3+:1,carbon_based:1
"(Yan et al., 2021)",1,90.0,,90.0,90.0,1,1,Acidic_HighC0:1,Cr6+:1,composite_other:1
"(Yuan et al., 2021)",1,90.0,,90.0,90.0,1,1,Neutral_HighC0:1,Cr6+:1,composite_other:1
"(Zhang et al., 2017)",1,96.0,,96.0,96.0,1,1,Acidic_HighC0:1,Pb2+:1,composite_other:1
"(Zhang et al., 2019a)",1,99.73,,99.73,99.73,1,1,Acidic_HighC0:1,Pb2+:1,composite_other:1
"(Zhang et al., 2020a)",1,83.5,,83.5,83.5,1,1,Acidic_HighC0:1,Hg2+:1,composite_other:1
"(Zhang et al., 2021b)",1,84.0,,84.0,84.0,1,1,Acidic_LowC0:1,Cd2+:1,composite_other:1
"(Zhang et al., 2021d)",1,100.0,,100.0,100.0,1,1,Acidic_LowC0:1,Pb2+:1,composite_other:1
"(Zhang et al., 2022)",1,98.66,,98.66,98.66,1,1,Acidic_LowC0:1,Pb2+:1,composite_other:1
"(Zhou et al., 2014)",1,90.0,,90.0,90.0,1,1,Acidic_HighC0:1,Hg2+:1,composite_other:1
"(Zhou et al., 2020)",1,95.4,,95.4,95.4,1,1,Acidic_HighC0:1,Cr6+:1,composite_other:1
Acharya et al. (2009),1,28.0,,28.0,28.0,1,1,Acidic_LowC0:1,Pb2+:1,biomass:1
Acosta et al. (2005),1,99.0,,99.0,99.0,1,1,Acidic_HighC0:1,Cu2+:1,composite_other:1
Ahmad et al. (2009),1,90.0,,90.0,90.0,1,1,Acidic_HighC0:1,Cu2+:1,biomass:1
Ahmad et al. (2013),1,94.0,,94.0,94.0,1,1,Neutral_HighC0:1,Cr3+:1,composite_other:1
Al-Anber & Matouq (2008),1,66.0,,66.0,66.0,1,1,Acidic_HighC0:1,Cd2+:1,composite_other:1
Aliabadi et al. (2013),1,72.0,,72.0,72.0,1,1,Acidic_HighC0:1,Cd2+:1,polymer:1
Alslaibi et al. (2013),1,95.32,,95.32,95.32,1,1,Acidic_LowC0:1,Cd2+:1,carbon_based:1
Argun et al. (2007),1,84.0,,84.0,84.0,1,1,Acidic_HighC0:1,Cr3+:1,biomass:1
Arulkumar et al. (2012),1,98.0,,98.0,98.0,1,1,Acidic_HighC0:1,Cr3+:1,composite_other:1
"Azizul-Rahman et al., 2014",1,77.3,,77.3,77.3,1,1,Acidic_LowC0:1,Pb2+:1,composite_other:1
Azouaou et al. (2010),1,87.0,,87.0,87.0,1,1,Neutral_HighC0:1,Cd2+:1,composite_other:1
Bansode et al. (2003),1,99.0,,99.0,99.0,1,1,Acidic_LowC0:1,Zn2+:1,composite_other:1
Beolchini et al. (2006),1,99.0,,99.0,99.0,1,1,Acidic_HighC0:1,Cu2+:1,composite_other:1
Bhainsa & D'Souza (2008),1,19.4,,19.4,19.4,1,1,Acidic_HighC0:1,Cu2+:1,composite_other:1
Bohli et al. (2015),1,23.0,,23.0,23.0,1,1,Acidic_LowC0:1,Cd2+:1,carbon_based:1
Boonamnuayvitaya et al. (2004),1,90.0,,90.0,90.0,1,1,Acidic_HighC0:1,Cd2+:1,composite_other:1
Chand et al. (2014),1,80.0,,80.0,80.0,1,1,Acidic_LowC0:1,Cd2+:1,composite_other:1
Chand et al. (2015),1,99.7,,99.7,99.7,1,1,Acidic_HighC0:1,Cd2+:1,composite_other:1
Christoforidis et al. (2015),1,100.0,,100.0,100.0,1,1,Acidic_LowC0:1,Cu2+:1,biomass:1
Cojocaru et al. (2009),1,43.08,,43.08,43.08,1,1,Acidic_HighC0:1,Cu2+:1,biomass:1
Cronje et al. (2011),1,93.0,,93.0,93.0,1,1,Neutral_HighC0:1,Cr3+:1,carbon_based:1
DOI: 10.17344/acsi.2018.4795,1,100.0,,100.0,100.0,1,1,Acidic_LowC0:1,Cd2+:1,mineral_oxide:1
Dakiky et al. (2002),1,99.0,,99.0,99.0,1,1,Acidic_HighC0:1,Cr6+:1,biomass:1
Dubey et al. (2015),1,93.0,,93.0,93.0,1,1,Acidic_LowC0:1,Cr3+:1,carbon_based:1
