Adsorbent,Adsorbate,Surface area(m2/g),Adsorption capacity(mg/g),Intial Concentration(ppm),RE (%),Contact Time (min.),Dose(g/L),RPM,Initial pH,T(K),Ref.,
Graphene oxide based inverse spinel nickel ferrite composite,Cr3+,136,45,1000,90.65,120,1.3,125,4,298,Lingamdinne et al. (2015),https://doi.org/10.1016/j.hydromet.2015.11.005
Zero-valent iron decorated on graphene nanosheets,Cr3+,117.97,35.3,25,70,90,1,125,3,298,Li et al. (2016),https://doi.org/10.1016/j.cej.2015.12.022
Copolymer of dimethylaminoethyl methacrylate with graphene oxide,Cr3+,2630,82.4,50,93,45,1,125,1.1,298,Ma et al. (2015),Radiation-induced graft copolymerization of dimethylaminoethyl methacrylate onto graphene oxide for Cr(VI) removal - ScienceDirect
Graphene sand composite (GSC),Cr3+,157,2859.38,14,93,90,10,125,1.5,298,Dubey et al. (2015),(PDF) Green synthesis of graphene sand composite (GSC) as novel adsorbent for efficient removal of Cr (VI) ions from aqueous solution
Graphene oxide,Cr3+,6.53,92.65,52,92.65,12,1,125,5,298,Yang et al. (2014a),https://doi.org/10.1016/j.colsurfa.2014.05.062
Modified graphene (GN) with cetyltrimethylammonium bromide,Cr3+,1.52,21.57,75,98.2,60,400,125,2,298,Wu et al. (2013),Adsorption of hexavalent chromium from aqueous solutions by graphene modified with cetyltrimethylammonium bromide - ScienceDirect
Acrylonitriledivinylbenzene copolymer,Cr3+,7.13,101.2,30,80,420,0.6,125,2,298,Duranoğlu et al. (2010),https://doi.org/10.1016/j.cej.2010.08.054
Syzygium jambolanum nut carbon,Cr3+,2.49,35.3,110,100,240,5,125,2,298,Muthukumaran & Beulah (2011),https://doi.org/10.1016/j.proenv.2011.03.032
Green alga Ulva lactuca,Cr3+,4.33,61.485,50,98,40,2,125,1,298,El-Sikaily et al. (2007),Removal of toxic chromium from wastewater using green alga Ulva lactuca and its activated carbon - ScienceDirect
Jatropha wood,Cr3+,8.71,123.6,65,90.65,360,1.3,125,6,298,Gueye et al. (2014),https://doi.org/10.1016/j.jece.2013.12.014
Tamarind wood,Pb2+,2.49,35.3,30,28,40,2,125,6.5,298,Acharya et al. (2009),Removal of lead(II) from wastewater by activated carbon developed from Tamarind wood by zinc chloride activation - ScienceDirect
Pterocladia capillacea,Cr3+,4.65,66,50,100,120,6.5,125,1,298,El Nemr et al. (2015),"Removal of toxic chromium from aqueous solution, wastewater and saline water by marine red alga Pterocladia capillacea and its activated carbon - ScienceDirect"
Zizania caduciflora,Cr3+,0.19,2.7,30,84.8,48,0.8,125,2.5,298,Liu et al. (2014),Enhancement of Cr(VI) removal by modifying activated carbon developed from Zizania caduciflora with tartaric acid during phosphoric acid activation - ScienceDirect
Prawn shell,Cr3+,7.04,100,75,98,31.4,1,125,5,298,Arulkumar et al. (2012),Rapid removal of chromium from aqueous solution using novel prawn shell activated carbon - ScienceDirect
Iron oxide incorporated into silica derived from rice husk,Cr3+,4.49,63.69,175,71,120,2,125,2,298,Oladoja et al. (2013),(PDF) Iron incorporated rice husk silica as a sorbent for hexavalent chromium attenuation in aqueous system
Ozone-treated rice husk,Cr3+,0.77,10.9,75,86,150,4,125,2,298,Sugashini & Begum (2015),Preparation of activated carbon from carbonized rice husk by ozone activation for Cr(VI) removal | Request PDF
Coconut coir pith modified by using surfactant cetyltrimethyl ammonium bromide,Cr3+,2.11,29.96,"30, 0.1",98,120,1,125,8,298,Nadeem et al. (2006),Removal of chromium(VI) from water and wastewater using surfactant modified coconut coir pith as a biosorbent - ScienceDirect
Coconut coir pith modified by using hexadecyltrimethyl ammonium bromide surfactant,Cr3+,5.37,76.3,40,96,90,3.2,125,2,298,Namasivayam & Sureshkumar (2008),Removal of Chromium(VI) From Water and Wastewater Using Surfactant Modified Coconut Coir Pith as a Biosorbent | Request PDF
Acinetobacter haemolyticus bacteria inside sugarcane bagasse,Cr3+,2.49,35.3,55,94,2880,1,125,7,298,Ahmad et al. (2013),Cr(VI) reduction in naturally rich growth medium and sugarcane bagasse by Acinetobacter haemolyticus | Request PDF
Succinic acid modified sugarcane bagasse,Cr3+,2.49,35.3,50,92,60,20,125,2,298,Garg et al. (2009),https://doi.org/10.1016/j.desal.2008.10.025
Sugarcane bagasse activated with zinc chloride,Cr3+,2.49,35.3,77.5,93,60,6.85,125,8.58,298,Cronje et al. (2011),Optimization of chromium(VI) sorption potential using developed activated carbon from sugarcane bagasse with chemical activation by zinc chloride - ScienceDirect
Wheat bran,Cr3+,6.55,93,20,89,20,80,125,5,298,Farajzadeh & Monji (2004),Adsorption characteristics of wheat bran towards heavy metal cations | Request PDF
Wheat bran modified using sulphuric acid,Cr3+,9.37,133,75,99.9,300,2,125,1.5,298,Özer & Özer (2004),The Adsorption of Cr(VI) on Sulphuric Acid-Treated Wheat Bran | Request PDF
Wheat bran modified using tartaric acid,Cr3+,0.37,5.28,200,90,730,20,125,2.1,298,Kaya et al. (2014),Use of modified wheat bran for the removal of chromium(VI) from aqueous solutions - ScienceDirect
Modified coir pith using the surfactant hexadecyltrimethylammonium bromide,Cr3+,2.73,38.77,60,94,60,50,125,2,298,Namasivayam & Sureshkumar (2008),Removal of chromium(VI) from water and wastewater using surfactant modified coconut coir pith as a biosorbent - ScienceDirect
Coconut coir and derived char,Cr3+,1.95,27.7,250,70,7200,1,125,3,298,Shen et al. (2012),Removal of hexavalent Cr by coconut coir and derived chars – The effect of surface functionality - ScienceDirect
Modified orange peel,Cr3+,0.28,4,250,82,4320,4,125,4,298,Marín et al. (2010),(PDF) Modified Orange Peel Waste as a Sustainable Material for Adsorption of Contaminants
Pre-treated orange peel,Cr3+,0.66,9.43,10,65,260,10,125,3,298,Lugo-Lugo et al. (2012),Biosorption of Cr(III) and Fe(III) in single and binary systems onto pretreated orange peel - ScienceDirect
Composite of iron nanoparticles into orange peel pith,Cr3+,,5.37,10,71,60,5,,1,298,López-Téllez et al. (2011),https://www.researchgate.net/publication/241114396_Removal_of_hexavalent_chromium_in_aquatic_solutions_by_iron_nanoparticles_embedded_in_orange_peel_pith
Hydrochloric acid modified oak sawdust (Quercus coccifera),Cr3+,0.12,1.7,50,84,360,60,125,3,298,Argun et al. (2007),https://www.sciencedirect.com/science/article/abs/pii/S030438940600762X
